,patt_id,norm_power_mW_of_MultiStimulator,APC
0,0,2.5e-05,0
0,0,0.0001,0
0,0,0.0004,0
0,0,0.0016,0
0,1,2.5e-05,0
0,1,0.0001,0
0,1,0.0004,0
0,1,0.0016,0
0,2,2.5e-05,0
0,2,0.0001,0
0,2,0.0004,0
0,2,0.0016,0
0,3,2.5e-05,0
0,3,0.0001,0
0,3,0.0004,0
0,3,0.0016,0
0,4,2.5e-05,0
0,4,0.0001,0
0,4,0.0004,0
0,4,0.0016,0
0,5,2.5e-05,0
0,5,0.0001,0
0,5,0.0004,0
0,5,0.0016,0
0,6,2.5e-05,0
0,6,0.0001,0
0,6,0.0004,0
0,6,0.0016,0
0,7,2.5e-05,0
0,7,0.0001,0
0,7,0.0004,0
0,7,0.0016,0
0,8,2.5e-05,0
0,8,0.0001,0
0,8,0.0004,0
0,8,0.0016,0
0,9,2.5e-05,0
0,9,0.0001,0
0,9,0.0004,0
0,9,0.0016,0
0,10,2.5e-05,0
0,10,0.0001,0
0,10,0.0004,0
0,10,0.0016,0
0,11,2.5e-05,0
0,11,0.0001,0
0,11,0.0004,0
0,11,0.0016,0
0,12,2.5e-05,0
0,12,0.0001,0
0,12,0.0004,0
0,12,0.0016,0
0,13,2.5e-05,0
0,13,0.0001,0
0,13,0.0004,0
0,13,0.0016,0
0,14,2.5e-05,0
0,14,0.0001,0
0,14,0.0004,0
0,14,0.0016,0
0,15,2.5e-05,0
0,15,0.0001,0
0,15,0.0004,0
0,15,0.0016,0
0,16,2.5e-05,0
0,16,0.0001,0
0,16,0.0004,0
0,16,0.0016,0
0,17,2.5e-05,0
0,17,0.0001,0
0,17,0.0004,0
0,17,0.0016,0
0,18,2.5e-05,0
0,18,0.0001,0
0,18,0.0004,0
0,18,0.0016,0
0,19,2.5e-05,0
0,19,0.0001,0
0,19,0.0004,0
0,19,0.0016,0
0,20,2.5e-05,0
0,20,0.0001,0
0,20,0.0004,0
0,20,0.0016,0
0,21,2.5e-05,0
0,21,0.0001,0
0,21,0.0004,0
0,21,0.0016,0
0,22,2.5e-05,0
0,22,0.0001,0
0,22,0.0004,0
0,22,0.0016,0
0,23,2.5e-05,0
0,23,0.0001,0
0,23,0.0004,0
0,23,0.0016,0
0,24,2.5e-05,0
0,24,0.0001,0
0,24,0.0004,0
0,24,0.0016,0
0,25,2.5e-05,0
0,25,0.0001,0
0,25,0.0004,0
0,25,0.0016,0
0,26,2.5e-05,0
0,26,0.0001,0
0,26,0.0004,0
0,26,0.0016,0
0,27,2.5e-05,0
0,27,0.0001,0
0,27,0.0004,0
0,27,0.0016,0
0,28,2.5e-05,0
0,28,0.0001,0
0,28,0.0004,0
0,28,0.0016,0
0,29,2.5e-05,0
0,29,0.0001,0
0,29,0.0004,0
0,29,0.0016,0
0,30,2.5e-05,0
0,30,0.0001,0
0,30,0.0004,0
0,30,0.0016,0
0,31,2.5e-05,0
0,31,0.0001,0
0,31,0.0004,0
0,31,0.0016,0
0,32,2.5e-05,0
0,32,0.0001,0
0,32,0.0004,0
0,32,0.0016,0
0,33,2.5e-05,0
0,33,0.0001,0
0,33,0.0004,0
0,33,0.0016,0
0,34,2.5e-05,0
0,34,0.0001,0
0,34,0.0004,0
0,34,0.0016,0
0,35,2.5e-05,0
0,35,0.0001,0
0,35,0.0004,0
0,35,0.0016,0
0,36,2.5e-05,0
0,36,0.0001,0
0,36,0.0004,0
0,36,0.0016,0
0,37,2.5e-05,0
0,37,0.0001,0
0,37,0.0004,0
0,37,0.0016,0
0,38,2.5e-05,0
0,38,0.0001,0
0,38,0.0004,0
0,38,0.0016,0
0,39,2.5e-05,0
0,39,0.0001,0
0,39,0.0004,0
0,39,0.0016,0
0,40,2.5e-05,0
0,40,0.0001,0
0,40,0.0004,0
0,40,0.0016,0
0,41,2.5e-05,0
0,41,0.0001,0
0,41,0.0004,0
0,41,0.0016,0
0,42,2.5e-05,0
0,42,0.0001,0
0,42,0.0004,0
0,42,0.0016,0
0,43,2.5e-05,0
0,43,0.0001,0
0,43,0.0004,0
0,43,0.0016,0
0,44,2.5e-05,0
0,44,0.0001,0
0,44,0.0004,0
0,44,0.0016,0
0,45,2.5e-05,0
0,45,0.0001,0
0,45,0.0004,0
0,45,0.0016,0
0,46,2.5e-05,0
0,46,0.0001,0
0,46,0.0004,0
0,46,0.0016,0
0,47,2.5e-05,0
0,47,0.0001,0
0,47,0.0004,0
0,47,0.0016,0
0,48,2.5e-05,0
0,48,0.0001,0
0,48,0.0004,0
0,48,0.0016,0
0,49,2.5e-05,0
0,49,0.0001,0
0,49,0.0004,0
0,49,0.0016,0
0,50,2.5e-05,0
0,50,0.0001,0
0,50,0.0004,0
0,50,0.0016,0
0,51,2.5e-05,0
0,51,0.0001,0
0,51,0.0004,0
0,51,0.0016,0
0,52,2.5e-05,0
0,52,0.0001,0
0,52,0.0004,0
0,52,0.0016,0
0,53,2.5e-05,0
0,53,0.0001,0
0,53,0.0004,0
0,53,0.0016,0
0,54,2.5e-05,0
0,54,0.0001,0
0,54,0.0004,0
0,54,0.0016,0
0,55,2.5e-05,0
0,55,0.0001,0
0,55,0.0004,0
0,55,0.0016,0
0,56,2.5e-05,0
0,56,0.0001,0
0,56,0.0004,0
0,56,0.0016,0
0,57,2.5e-05,0
0,57,0.0001,0
0,57,0.0004,0
0,57,0.0016,0
0,58,2.5e-05,0
0,58,0.0001,0
0,58,0.0004,0
0,58,0.0016,0
0,59,2.5e-05,0
0,59,0.0001,0
0,59,0.0004,0
0,59,0.0016,0
0,60,2.5e-05,0
0,60,0.0001,0
0,60,0.0004,0
0,60,0.0016,0
0,61,2.5e-05,0
0,61,0.0001,0
