,APC,x,y
0,0,-100,-100
0,0,-90,-100
0,0,-80,-100
0,0,-70,-100
0,0,-60,-100
0,0,-50,-100
0,0,-40,-100
0,0,-30,-100
0,0,-20,-100
0,0,-10,-100
0,0,0,-100
0,0,10,-100
0,0,20,-100
0,0,30,-100
0,0,40,-100
0,0,50,-100
0,0,60,-100
0,0,70,-100
0,0,80,-100
0,0,90,-100
0,0,100,-100
0,0,-100,-90
0,0,-90,-90
0,0,-80,-90
0,0,-70,-90
0,0,-60,-90
0,0,-50,-90
0,0,-40,-90
0,0,-30,-90
0,0,-20,-90
0,0,-10,-90
0,0,0,-90
0,0,10,-90
0,0,20,-90
0,0,30,-90
0,0,40,-90
0,0,50,-90
0,0,60,-90
0,0,70,-90
0,0,80,-90
0,0,90,-90
0,0,100,-90
0,0,-100,-80
0,0,-90,-80
0,0,-80,-80
0,0,-70,-80
0,0,-60,-80
0,0,-50,-80
0,0,-40,-80
0,0,-30,-80
0,0,-20,-80
0,0,-10,-80
0,0,0,-80
0,0,10,-80
0,0,20,-80
0,0,30,-80
0,0,40,-80
0,0,50,-80
0,0,60,-80
0,0,70,-80
0,0,80,-80
0,0,90,-80
0,0,100,-80
0,0,-100,-70
0,0,-90,-70
0,0,-80,-70
0,0,-70,-70
0,0,-60,-70
0,0,-50,-70
0,0,-40,-70
0,0,-30,-70
0,0,-20,-70
0,0,-10,-70
0,0,0,-70
0,0,10,-70
0,0,20,-70
0,0,30,-70
0,0,40,-70
0,0,50,-70
0,0,60,-70
0,0,70,-70
0,0,80,-70
0,0,90,-70
0,0,100,-70
0,0,-100,-60
0,0,-90,-60
0,0,-80,-60
0,0,-70,-60
0,0,-60,-60
0,0,-50,-60
0,0,-40,-60
0,0,-30,-60
0,0,-20,-60
0,0,-10,-60
0,0,0,-60
0,0,10,-60
0,0,20,-60
0,0,30,-60
0,0,40,-60
0,0,50,-60
0,0,60,-60
0,0,70,-60
0,0,80,-60
0,0,90,-60
0,0,100,-60
0,0,-100,-50
0,0,-90,-50
0,0,-80,-50
0,0,-70,-50
0,0,-60,-50
0,0,-50,-50
0,0,-40,-50
0,1,-30,-50
0,1,-20,-50
0,2,-10,-50
0,2,0,-50
0,1,10,-50
0,0,20,-50
0,0,30,-50
0,0,40,-50
0,0,50,-50
0,0,60,-50
0,0,70,-50
0,0,80,-50
0,0,90,-50
0,0,100,-50
0,0,-100,-40
0,0,-90,-40
0,0,-80,-40
0,0,-70,-40
0,0,-60,-40
0,0,-50,-40
0,1,-40,-40
0,3,-30,-40
0,4,-20,-40
0,4,-10,-40
0,4,0,-40
0,3,10,-40
0,2,20,-40
0,1,30,-40
0,0,40,-40
0,0,50,-40
0,0,60,-40
0,0,70,-40
0,0,80,-40
0,0,90,-40
0,0,100,-40
0,0,-100,-30
0,0,-90,-30
0,0,-80,-30
0,0,-70,-30
0,0,-60,-30
0,1,-50,-30
0,3,-40,-30
0,5,-30,-30
0,6,-20,-30
0,6,-10,-30
0,6,0,-30
0,6,10,-30
0,4,20,-30
0,3,30,-30
0,1,40,-30
0,0,50,-30
0,0,60,-30
0,0,70,-30
0,0,80,-30
0,0,90,-30
0,0,100,-30
0,0,-100,-20
0,0,-90,-20
0,0,-80,-20
0,0,-70,-20
0,0,-60,-20
0,2,-50,-20
0,4,-40,-20
0,6,-30,-20
0,8,-20,-20
0,8,-10,-20
0,8,0,-20
0,7,10,-20
0,6,20,-20
0,4,30,-20
0,2,40,-20
0,0,50,-20
0,0,60,-20
0,0,70,-20
0,0,80,-20
0,0,90,-20
0,0,100,-20
0,0,-100,-10
0,0,-90,-10
0,0,-80,-10
0,0,-70,-10
0,1,-60,-10
0,3,-50,-10
0,5,-40,-10
0,7,-30,-10
0,9,-20,-10
0,9,-10,-10
0,9,0,-10
0,8,10,-10
0,7,20,-10
0,5,30,-10
0,2,40,-10
0,0,50,-10
0,0,60,-10
0,0,70,-10
0,0,80,-10
0,0,90,-10
0,0,100,-10
0,0,-100,0
0,0,-90,0
0,0,-80,0
0,0,-70,0
0,1,-60,0
0,3,-50,0
0,6,-40,0
0,8,-30,0
0,9,-20,0
0,10,-10,0
0,10,0,0
0,9,10,0
0,7,20,0
0,5,30,0
0,3,40,0
0,0,50,0
0,0,60,0
0,0,70,0
0,0,80,0
0,0,90,0
0,0,100,0
0,0,-100,10
0,0,-90,10
0,0,-80,10
0,0,-70,10
0,1,-60,10
0,3,-50,10
0,5,-40,10
0,7,-30,10
0,9,-20,10
0,9,-10,10
0,9,0,10
0,8,10,10
0,7,20,10
0,5,30,10
0,2,40,10
0,0,50,10
0,0,60,10
