comp,normed_rescaled_cond,radius_um,angle_rad,intensity_mWPERmm2
10001_0.14694957843307122,0.2150629111367296,0.0,0.0,2.187578125
10005_0.8955514138416213,0.1298763537568098,0.0,0.0,2.187578125
10012_0.34048241796273276,0.138754846044093,0.0,0.0,2.187578125
10019_0.27892695838947973,0.1969517006135634,0.0,0.0,2.187578125
10023_0.9999999974633967,0.1783264685409332,0.0,0.0,2.187578125
10031_0.5600304462217353,0.190602611757257,0.0,0.0,2.187578125
10038_0.8613265027157654,0.283763649057988,0.0,0.0,2.187578125
10045_0.32563324729359744,0.1628494450685324,0.0,0.0,2.187578125
10051_0.7218016834367811,0.2205931488335884,0.0,0.0,2.187578125
10061_0.4982603501618205,0.1948220553985397,0.0,0.0,2.187578125
10067_0.5114120859623601,0.1047405187574301,0.0,0.0,2.187578125
10074_0.999999997176737,0.140876288315342,0.0,0.0,2.187578125
10085_0.9999999722781553,0.005677328430974,0.0,0.0,2.187578125
10090_0.571573129805941,0.2233824858886199,0.0,0.0,2.187578125
10098_0.9999999924852232,0.1165025566419173,0.0,0.0,2.187578125
10104_0.9601255170690041,0.0698049182077374,0.0,0.0,2.187578125
10109_0.8841553346445088,0.1528979622093765,0.0,0.0,2.187578125
10116_0.6572402852931979,0.1131769844925281,0.0,0.0,2.187578125
10121_0.8057178338128965,0.0713313613054989,0.0,0.0,2.187578125
10127_0.4132055081766056,0.0864528767814024,0.0,0.0,2.187578125
10134_0.9999999779478712,0.0156240706241998,0.0,0.0,2.187578125
10142_0.43412133008120185,0.0916285359019803,0.0,0.0,2.187578125
10147_0.16597250377152264,0.0823099992023181,0.0,0.0,2.187578125
10154_0.5518827883759553,0.1013979044553432,0.0,0.0,2.187578125
10161_0.018694908916345485,0.0935311929679882,0.0,0.0,2.187578125
10166_0.8902195963473031,0.0794311078918097,0.0,0.0,2.187578125
10176_0.999999805777834,0.0021236290843733,0.0,0.0,2.187578125
10179_0.5336070977329394,0.3282315132682629,0.0,0.0,2.187578125
10184_0.966217999684669,0.320468119931489,0.0,0.0,2.187578125
10193_0.04783593216141202,0.44246290564457,0.0,0.0,2.187578125
10194_0.999999999103105,0.4175642937021198,0.0,0.0,2.187578125
10198_2.0124483895829764e-05,0.1196473745181215,0.0,0.0,2.187578125
10201_2.2587577643910083e-05,0.1050113870196086,0.0,0.0,2.187578125
10203_0.9999999985980039,0.0932917032760041,0.0,0.0,2.187578125
10205_0.5714378046722334,0.2161021323707699,0.0,0.0,2.187578125
10207_0.14289072041436393,0.1925689561768458,0.0,0.0,2.187578125
10208_0.7142972663305042,0.1691795890447896,0.0,0.0,2.187578125
10210_0.2857430585648633,0.1468347279562472,0.0,0.0,2.187578125
10211_0.8571451631179828,0.124871293115122,0.0,0.0,2.187578125
10213_0.42858856904670806,0.1060827757483323,0.0,0.0,2.187578125
10214_0.9999999992277918,0.0903662858587259,0.0,0.0,2.187578125
10215_0.9999999992047496,4.387134444423541,0.0,0.0,2.187578125
10278_0.9999999965969969,1.5453238290881877,0.0,0.0,2.187578125
10293_0.9999999932638608,0.7110151864802785,0.0,0.0,2.187578125
10330_0.9999999959148422,1.2098180020246203,0.0,0.0,2.187578125
10341_0.9999999957688109,1.225497215408555,0.0,0.0,2.187578125
10355_0.999999595966491,0.0142561878651357,0.0,0.0,2.187578125
10384_0.9999999966339943,2.100453986886305,0.0,0.0,2.187578125
10421_0.9999999977611328,5.159825148567801,0.0,0.0,2.187578125
10432_0.46643922469799826,2.808762798430723,0.0,0.0,2.187578125
10438_0.9999999971845897,4.117126741313011,0.0,0.0,2.187578125
10449_0.9999999965107758,3.452511242176348,0.0,0.0,2.187578125
10459_0.9999999973764018,4.672777493318626,0.0,0.0,2.187578125
10468_0.9999999969882489,4.12107060561513,0.0,0.0,2.187578125
10478_0.5779139880354038,3.040639124239326,0.0,0.0,2.187578125
10488_0.43446576089617955,3.43545829697459,0.0,0.0,2.187578125
10496_0.9999999958524141,3.252715336918929,0.0,0.0,2.187578125
10528_0.2509088905406943,1.4991571867644615,0.0,0.0,2.187578125
10537_0.046628706132457974,1.4284755652322472,0.0,0.0,2.187578125
10547_0.20527710743746388,1.419744595381187,0.0,0.0,2.187578125
10559_0.5310381793901152,1.8907215043462573,0.0,0.0,2.187578125
10568_0.6755388081490233,1.97076794251062,0.0,0.0,2.187578125
10580_0.9999999955082499,1.4302855692545282,0.0,0.0,2.187578125
10597_0.9999999963631155,2.0579690035170493,0.0,0.0,2.187578125
10608_0.9257537793362485,2.1705632466801994,0.0,0.0,2.187578125
10621_0.9999999973376202,1.6810737689934616,0.0,0.0,2.187578125
10631_0.999999996765713,2.5266993340723767,0.0,0.0,2.187578125
10642_0.2002985276152221,2.313182782797972,0.0,0.0,2.187578125
10651_0.9999999127698391,0.0992188690659824,0.0,0.0,2.187578125
10673_0.9999999978418599,2.335941760365228,0.0,0.0,2.187578125
10694_0.5372421180381377,2.811095158315505,0.0,0.0,2.187578125
10702_0.9999999948266811,1.6120330366141928,0.0,0.0,2.187578125
10706_0.9999999972117156,0.6653315611685728,0.0,0.0,2.187578125
10717_0.6230178166420103,0.4452020513023889,0.0,0.0,2.187578125
10728_0.8287098550559068,0.255452716011638,0.0,0.0,2.187578125
10738_0.3004519523998319,0.3191613032610995,0.0,0.0,2.187578125
10750_0.9999996172566348,0.0037123116938639,0.0,0.0,2.187578125
10766_0.9999999975575515,1.4466870559892195,0.0,0.0,2.187578125
10784_0.9999999975655435,0.2272108401623593,0.0,0.0,2.187578125
10815_0.9999998292493204,5.235018021688936e-05,0.0,0.0,2.187578125
10836_0.9999999971454733,1.3188100662847335,0.0,0.0,2.187578125
10846_0.9999999972067808,0.9607489246445358,0.0,0.0,2.187578125
10853_0.9999999966173254,0.592925180468909,0.0,0.0,2.187578125
10870_0.5480475172302507,0.0488794220992706,0.0,0.0,2.187578125
10880_0.9999999973522717,0.0569362044338473,0.0,0.0,2.187578125
10892_0.9999999972014371,0.0183483819077821,0.0,0.0,2.187578125
10897_0.9999999970873202,0.0095092088464958,0.0,0.0,2.187578125
10906_0.9999999954356047,0.003610197706689,0.0,0.0,2.187578125
10916_0.999999763008657,1.7690689950717203e-05,0.0,0.0,2.187578125
10920_0.9999999958271147,0.0022854859087036,0.0,0.0,2.187578125
10934_0.10495508969264232,0.0788627289782992,0.0,0.0,2.187578125
10945_0.9999999972353626,0.0539737147291575,0.0,0.0,2.187578125
10955_0.3674143313648132,0.0426750396040203,0.0,0.0,2.187578125
10962_0.9999999978922949,0.0390262355989736,0.0,0.0,2.187578125
10967_0.9999999977362809,0.0911931812846621,0.0,0.0,2.187578125
10974_0.9999999974151019,0.1117668897180614,0.0,0.0,2.187578125
10981_0.9999999969619894,0.1495857983273555,0.0,0.0,2.187578125
10994_0.9999999958395319,0.1376210278383524,0.0,0.0,2.187578125
11014_0.9999999967240263,2.6387950914001688,0.0,0.0,2.187578125
11048_0.9999999967533107,2.4886641983702464,0.0,0.0,2.187578125
11066_0.9999999973081006,2.5775508823084063,0.0,0.0,2.187578125
11086_0.9999999975589352,1.8737569651986756,0.0,0.0,2.187578125
11099_0.999999996451763,1.0867180318025755,0.0,0.0,2.187578125
11110_0.9999999973428113,0.6816634902652461,0.0,0.0,2.187578125
11121_0.9999999953871077,0.1517564744126844,0.0,0.0,2.187578125
11156_0.9999999979296326,0.064658206748191,0.0,0.0,2.187578125
11162_0.9999999967582114,0.0816682701546032,0.0,0.0,2.187578125
11176_0.9999999966313079,2.496905104109531,0.0,0.0,2.187578125
11188_0.9999999970796615,2.0004099530446644,0.0,0.0,2.187578125
11196_0.9999999954504237,1.1473757644326483,0.0,0.0,2.187578125
11202_0.9999999954177379,1.0787875581295965,0.0,0.0,2.187578125
11223_0.5336676406781717,0.3727711077216038,0.0,0.0,2.187578125
11232_0.9999999963494773,0.214737878483206,0.0,0.0,2.187578125
11241_0.9425583113509212,0.1071766672883073,0.0,0.0,2.187578125
11248_0.9999999972905843,0.0395714067270398,0.0,0.0,2.187578125
11256_0.9999999972446245,0.0164513613144029,0.0,0.0,2.187578125
11280_0.9999999968947083,0.0032488139595346,0.0,0.0,2.187578125
11304_0.9999990390371046,0.0023151037045253,0.0,0.0,2.187578125
11310_0.9999999969958772,0.2507912178896753,0.0,0.0,2.187578125
11326_0.9999999961886915,0.378821224641537,0.0,0.0,2.187578125
11339_0.9999999966987805,0.7281105425246633,0.0,0.0,2.187578125
11368_0.9999999972356118,0.2945463942262576,0.0,0.0,2.187578125
11373_0.9999999983048468,0.1736319480947327,0.0,0.0,2.187578125
11423_0.8480825857940546,0.4533733288066495,0.0,0.0,2.187578125
11440_0.6369647853267153,0.7275240273446086,0.0,0.0,2.187578125
11453_0.6355501966186171,0.6621194067208109,0.0,0.0,2.187578125
11465_0.83926309044166,1.273573664028936,0.0,0.0,2.187578125
11475_0.9999999481745007,0.0828557789191353,0.0,0.0,2.187578125
11498_0.15995266465141578,0.7013098938074677,0.0,0.0,2.187578125
11507_0.6595093069722541,0.4204741316630926,0.0,0.0,2.187578125
11516_0.9999999961889411,0.6021639161165648,0.0,0.0,2.187578125
11527_0.5259350330394325,0.3556155323919454,0.0,0.0,2.187578125
11539_0.999999996643007,0.4022468817661344,0.0,0.0,2.187578125
11553_0.9999994846312155,0.0019261882026546,0.0,0.0,2.187578125
11576_0.16433576046123413,0.7067748458689902,0.0,0.0,2.187578125
11585_0.4051711289202253,0.6425585791726065,0.0,0.0,2.187578125
11594_0.9999999969724662,0.6426970616210838,0.0,0.0,2.187578125
11598_0.9999999963955344,0.4624287988067402,0.0,0.0,2.187578125
11607_0.9999999966409129,0.3286342035369636,0.0,0.0,2.187578125
11638_0.9999999973184489,3.482286869206537,0.0,0.0,2.187578125
11656_0.9758368954617497,0.4991300885219637,0.0,0.0,2.187578125
11667_0.9999998805098956,0.0287402738039112,0.0,0.0,2.187578125
11714_0.9999999967371554,3.254559947127971,0.0,0.0,2.187578125
11719_0.9999999971491111,3.772516899756161,0.0,0.0,2.187578125
11724_0.9999999967227096,3.329569042564471,0.0,0.0,2.187578125
11733_0.9999999973249496,4.064539457164138,0.0,0.0,2.187578125
11739_0.9999999968940264,2.314926936033907,0.0,0.0,2.187578125
11748_0.9999999970578275,2.27492375799512,0.0,0.0,2.187578125
11766_0.9182446697509601,4.413839094380704,0.0,0.0,2.187578125
11772_0.9999999971590321,4.569051877073919,0.0,0.0,2.187578125
11779_0.9999999969848549,4.752098841809653,0.0,0.0,2.187578125
11784_0.9999999975869817,6.1309999883677095,0.0,0.0,2.187578125
11794_0.9999999969216836,5.542749866083714,0.0,0.0,2.187578125
11803_0.9999999952060514,4.037877033708519,0.0,0.0,2.187578125
11818_0.9999999968723157,6.472683596529757,0.0,0.0,2.187578125
